station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
88_1_8,88,8,1,"ททบ.5,โรงพยาบาลพญาไท 2",13.770291,100.541113,89_1_8,89,สนามเป้า,13.771948,100.541707,0.1950985123169866
89_1_8,89,8,1,สนามเป้า,13.771948,100.541707,90_1_8,90,สนามเป้าทางออก 3,13.773623,100.54228,0.19626282086109614
90_1_8,90,8,1,สนามเป้าทางออก 3,13.773623,100.54228,91_1_8,91,ซอยราชครู,13.776604,100.543389,0.3524460197262555
91_1_8,91,8,1,ซอยราชครู,13.776604,100.543389,92_1_8,92,BTS อารีย์,13.780038,100.544639,0.4050034031753691
92_1_8,92,8,1,BTS อารีย์,13.780038,100.544639,93_1_8,93,กองบัญชาการตำรวจตระเวนชายแดน,13.784253,100.54613,0.49557443712445903
93_1_8,93,8,1,กองบัญชาการตำรวจตระเวนชายแดน,13.784253,100.54613,94_1_8,94,สถานีตำรวจนครบาลบางซื่อ,13.786893,100.54708,0.31096540658578403
94_1_8,94,8,1,สถานีตำรวจนครบาลบางซื่อ,13.786893,100.54708,95_1_8,95,BTS สะพานควาย,13.793025,100.549294,0.7225507117922669
95_1_8,95,8,1,BTS สะพานควาย,13.793025,100.549294,96_1_8,96,วัดไผ่ตัน,13.794648,100.54989,0.19160249273185828
96_1_8,96,8,1,วัดไผ่ตัน,13.794648,100.54989,97_1_8,97,จตุจักร ป้ายใหญ่,13.802835,100.553577,0.993609914780756
97_1_8,97,8,1,จตุจักร ป้ายใหญ่,13.802835,100.553577,98_1_8,98,สวนจตุจักร,13.803708,100.554064,0.11040246501675029
98_1_8,98,8,1,สวนจตุจักร,13.803708,100.554064,99_1_8,99,ตรงข้ามธนาคารทหารไทย,13.80889,100.557191,0.6678585830364991
99_1_8,99,8,1,ตรงข้ามธนาคารทหารไทย,13.80889,100.557191,100_1_8,100,ห้างสรรพสินค้าเซ็นทรัล,13.814899,100.560486,0.7569942525773635
100_1_8,100,8,1,ห้างสรรพสินค้าเซ็นทรัล,13.814899,100.560486,101_1_8,101,ยูเนี่ยนมอลล์,13.812001,100.563196,0.4352800468099736
101_1_8,101,8,1,ยูเนี่ยนมอลล์,13.812001,100.563196,102_1_8,102,บ้านพร้อมพันธ์,13.810988,100.565023,0.22717168281195155
102_1_8,102,8,1,บ้านพร้อมพันธ์,13.810988,100.565023,103_1_8,103,บิ๊กซี,13.80913,100.568362,0.41554518878089414
103_1_8,103,8,1,บิ๊กซี,13.80913,100.568362,104_1_8,104,จอมพล,13.808167,100.570095,0.2156025224775915
104_1_8,104,8,1,จอมพล,13.808167,100.570095,105_1_8,105,ลาดพร้าว ซอย 22,13.807072,100.572118,0.2500883464260191
105_1_8,105,8,1,ลาดพร้าว ซอย 22,13.807072,100.572118,106_1_8,106,ผังเมือง,13.804134,100.577352,0.6528065219093021
106_1_8,106,8,1,ผังเมือง,13.804134,100.577352,107_1_8,107,ดับเพลิง,13.802774,100.579769,0.3016424023700908
107_1_8,107,8,1,ดับเพลิง,13.802774,100.579769,108_1_8,108,ลาดพร้าว ซอย 42,13.801813,100.581527,0.21784502610670173
108_1_8,108,8,1,ลาดพร้าว ซอย 42,13.801813,100.581527,109_1_8,109,แยกภาวนา,13.800138,100.584491,0.3703138997394801
109_1_8,109,8,1,แยกภาวนา,13.800138,100.584491,110_1_8,110,ตรงข้ามโรงเรียนพิบูลอุปถัมภ์,13.797979,100.588345,0.4804545175290082
110_1_8,110,8,1,ตรงข้ามโรงเรียนพิบูลอุปถัมภ์,13.797979,100.588345,111_1_8,111,ลาดพร้าว 51,13.796062,100.591761,0.4260416992784909
111_1_8,111,8,1,ลาดพร้าว 51,13.796062,100.591761,112_1_8,112,สถานีตำรวจนครบาลโชคชัย,13.79539,100.592948,0.14837061493315604
112_1_8,112,8,1,สถานีตำรวจนครบาลโชคชัย,13.79539,100.592948,113_1_8,113,ตลาดโชคชัย 4,13.794201,100.595097,0.26708431015744777
113_1_8,113,8,1,ตลาดโชคชัย 4,13.794201,100.595097,114_1_8,114,ลาดพร้าว ซอย 57,13.792951,100.597336,0.2788897273394011
114_1_8,114,8,1,ลาดพร้าว ซอย 57,13.792951,100.597336,115_1_8,115,คุรุสภา,13.79123,100.600416,0.383728655231202
115_1_8,115,8,1,คุรุสภา,13.79123,100.600416,116_1_8,116,ไปรษณีย์,13.789936,100.602717,0.28713679509830337
116_1_8,116,8,1,ไปรษณีย์,13.789936,100.602717,117_1_8,117,ตรงข้ามลาดพร้าว ซอย 80,13.788789,100.60481,0.2595248516009888
117_1_8,117,8,1,ตรงข้ามลาดพร้าว ซอย 80,13.788789,100.60481,118_1_8,118,ลาดพร้าว ซอย 67,13.787808,100.606536,0.21596490007620134
118_1_8,118,8,1,ลาดพร้าว ซอย 67,13.787808,100.606536,119_1_8,119,ปั๊มเติมน้ำมันเชล,13.785559,100.610547,0.5001605185762931
